name,index,x,y,w,h,source_file
2_cards_on_death,0,1,1,16,16,gun_actions/2_cards_on_death.png
3_cards_on_death,1,19,1,16,16,gun_actions/3_cards_on_death.png
_unidentified,2,37,1,16,16,gun_actions/_unidentified.png
accelerating_shot,3,55,1,16,16,gun_actions/accelerating_shot.png
acid,4,73,1,16,16,gun_actions/acid.png
acid_trail,5,91,1,16,16,gun_actions/acid_trail.png
acid_trail_unidentified,6,109,1,16,16,gun_actions/acid_trail_unidentified.png
acidshot,7,127,1,16,16,gun_actions/acidshot.png
acidshot_unidentified,8,145,1,16,16,gun_actions/acidshot_unidentified.png
air_bullet,9,163,1,16,16,gun_actions/air_bullet.png
air_bullet_unidentified,10,181,1,16,16,gun_actions/air_bullet_unidentified.png
alcohol_blast,11,199,1,16,16,gun_actions/alcohol_blast.png
all_acid,12,217,1,16,16,gun_actions/all_acid.png
all_blackholes,13,235,1,16,16,gun_actions/all_blackholes.png
all_deathcrosses,14,253,1,16,16,gun_actions/all_deathcrosses.png
all_discs,15,271,1,16,16,gun_actions/all_discs.png
all_nukes,16,289,1,16,16,gun_actions/all_nukes.png
all_rockets,17,307,1,16,16,gun_actions/all_rockets.png
all_spells,18,325,1,16,16,gun_actions/all_spells.png
alpha,19,343,1,16,16,gun_actions/alpha.png
anti_homing,20,361,1,16,16,gun_actions/anti_homing.png
antiheal,21,379,1,16,16,gun_actions/antiheal.png
arc_electric,22,397,1,16,16,gun_actions/arc_electric.png
arc_electric_unidentified,23,415,1,16,16,gun_actions/arc_electric_unidentified.png
arc_fire,24,433,1,16,16,gun_actions/arc_fire.png
arc_fire_unidentified,25,451,1,16,16,gun_actions/arc_fire_unidentified.png
arc_gunpowder,26,469,1,16,16,gun_actions/arc_gunpowder.png
arc_poison,27,487,1,16,16,gun_actions/arc_poison.png
area_damage,28,505,1,16,16,gun_actions/area_damage.png
arrow,29,523,1,16,16,gun_actions/arrow.png
arrow_unidentified,30,541,1,16,16,gun_actions/arrow_unidentified.png
autoaim,31,559,1,16,16,gun_actions/autoaim.png
avoiding_arc,32,1,19,16,16,gun_actions/avoiding_arc.png
baab_all,33,19,19,16,16,gun_actions/baab_all.png
baab_empty,34,37,19,16,16,gun_actions/baab_empty.png
baab_is,35,55,19,16,16,gun_actions/baab_is.png
baab_lava,36,73,19,16,16,gun_actions/baab_lava.png
baab_love,37,91,19,16,16,gun_actions/baab_love.png
baab_poop,38,109,19,16,16,gun_actions/baab_poop.png
